Input;Ground Truth;CoT Examples;CoT RC;LOGIC Prompt
I dont want to talk about it.;Freedom Rule;"""I prefer to keep that matter to myself.”";A: This sentence violates the Freedom Rule. Parties must not prevent each other from advancing standpoints or from casting doubt on standpoints. By keeping the mater to themselves the speaker is preventing the exchange of arguments, hindering the dialectical process, thus the Freedom Rule being violated.;
Nobody in his right mind can deny it;Freedom Rule;"""It's undeniable to anyone thinking clearly.";A: Parties must not prevent each other from advancing standpoints, in this case by declaring a sandpoint as sacroscant (any sensible person would agree) we are rendering the standpoint immune to cristicism which prevent the other party from advancing their standpoint. This clearly violates the Freedom Rule.;
;;;;
;;Any sensible person would agree;;
You'll have to face the consequences for our personal relationship;Freedom Rule;This choice will impact your future prospects within the company.;Parties must not prevent each other from advancing standpoints. Putting pressure on the oponent (here: his choice will affect his job) is a clear violating of the Freedom Rule. Because of the implications, the other party might not advance their standpoint and this is exactly in violation of the Freedom Rule, where parties must not prevent each other from advancing or casting doubt on standpoints.;
You can't do that to me;Freedom Rule;You have to help me;Parties must not prevent each other from advancing standpoints. By putting pressure on the opponent ( you “have” to help me) is an appeal to pity and can potentially prevent the oponent from advancing his standpoints. This clearly violates the Freedom Rule since it is preventing the oponent from advancing his standpoint.;You have to help me
;;;;
;;;;By putting pressure on the opponent ( you “have” to help me) is an appeal to pity and can potentially prevent the oponent from advancing his standpoints. This clearly violates the Freedom Rule since it is preventing the oponent from advancing his standpoint.
;;;;
;;;;You can't do that to me
;;;;
;;;;"By asserting """"You can't do that to me,"""" the speaker is attempting to limit the actions or responses of the other party, by appealing to pity, potentially restricting their freedom to advance their standpoint or argument. This is in violation of the Freedom Rule.”"
;;;;
Don't listen to this moron, crook, liar, etc.;Freedom Rule;Anyone who says that about me [that he’s a racist;Parties must not prevent each other from advancing standpoints. If you perform a personal attack on the oponent by depicting him as stupid, bad, etc you directly violate the Freedom Rule. Here by depicting the oponent as a ‘Nazi’ we have a clear violation of the Freedom Rule.;Q: Anyone who says that about me [that he’s a racist bigot] is a Nazi.”
;;bigot] is a Nazi.”;;
;;;;A: Parties must not prevent each other from advancing standpoints. If you perform a personal attack on the oponent by depicting him as stupid, bad, etc you directly violate the Freedom Rule. Here by depicting the oponent as a ‘Nazi’ we have a clear violation of the Freedom Rule.
;;;;
;;;;Q: Don't listen to this moron, crook, liar, etc.
;;;;
